"","end_step","forecast_MSE","persistence_MSE","percent_improvement","start_step","forecast_horizon","method"
"1",11,0.00367244697359584,0.00196096616136383,-0.87277427114892,10,5,"rigid"
"2",12,0.00675927724281244,0.00888808028347369,0.239512130039993,10,10,"rigid"
"3",13,0.00910987674660582,0.012652118968074,0.279972250530254,10,15,"rigid"
"4",14,0.0118346878835169,0.0169269114776745,0.300835955860812,10,20,"rigid"
"5",15,0.014314020968988,0.0202108851229671,0.29176674441032,10,25,"rigid"
"6",16,0.0159662513032001,0.022028484558834,0.275199741473039,10,30,"rigid"
"7",17,0.0180743537644119,0.0242274120062245,0.253970925174829,10,35,"rigid"
"8",18,0.0195707470316984,0.0256342032462912,0.236537728765574,10,40,"rigid"
"9",19,0.0220814496716501,0.0276702182448655,0.201977755424911,10,45,"rigid"
"10",20,0.0223083298065194,0.0278003237809742,0.197551439246669,10,50,"rigid"
"11",12,0.00492872585672326,0.00635286289413991,0.224172481154964,11,5,"rigid"
"12",13,0.00694825691425688,0.0102755665868931,0.323807903389027,11,10,"rigid"
"13",14,0.00983477158819964,0.0148024515675853,0.335598461964504,11,15,"rigid"
"14",15,0.0122207305940943,0.0181846502156185,0.327964494824427,11,20,"rigid"
"15",16,0.0139750555645284,0.0202390708647743,0.309501129873914,11,25,"rigid"
"16",17,0.0153624310506654,0.0223486120407832,0.312600217739204,11,30,"rigid"
"17",18,0.0166319306468408,0.0237554032808498,0.299867468036271,11,35,"rigid"
"18",19,0.0193496199534298,0.0262483632449579,0.262825656104606,11,40,"rigid"
"19",20,0.019809559871216,0.0269257337876144,0.264288950211333,11,45,"rigid"
"20",21,0.0194446611419006,0.0265098349780532,0.266511422722989,11,50,"rigid"
"21",13,0.00313355801999491,0.00325746367004156,0.0380374618406931,12,5,"rigid"
"22",14,0.00642665516943296,0.00833564486358694,0.229015238220276,12,10,"rigid"
"23",15,0.00947680975779557,0.013038692227683,0.273177892973424,12,15,"rigid"
"24",16,0.0116224853428909,0.0160451990749597,0.275640938539114,12,20,"rigid"
"25",17,0.0138040415372317,0.0184400177565268,0.251408446591883,12,25,"rigid"
"26",18,0.0156609086232682,0.0205394439850394,0.237520322620451,12,30,"rigid"
"27",19,0.0191988216382039,0.024050601412176,0.201732160074624,12,35,"rigid"
"28",20,0.0200013572532455,0.0251404131808951,0.204414139523964,12,40,"rigid"
"29",21,0.0190310538601851,0.0247705881069182,0.231707629304535,12,45,"rigid"
"30",22,0.0250930305136895,0.0313980361961517,0.200808918209828,12,50,"rigid"
"31",14,0.00347038812457388,0.00337597995047646,-0.0279646726231588,13,5,"rigid"
"32",15,0.00728679045138583,0.00881309603833546,0.173186083563649,13,10,"rigid"
"33",16,0.0096950928245466,0.0124581190935776,0.221785186694469,13,15,"rigid"
"34",17,0.0121321750309408,0.015551378998349,0.219865001539167,13,20,"rigid"
"35",18,0.0137736939092347,0.0175379014805243,0.214632724187084,13,25,"rigid"
"36",19,0.0177819531091566,0.0226182651631382,0.213823298077849,13,30,"rigid"
"37",20,0.0186600863065009,0.0239893969312903,0.222152755238218,13,35,"rigid"
"38",21,0.0181175951796435,0.0239680981071983,0.244095418058961,13,40,"rigid"
"39",22,0.0236545760569258,0.0306766637617456,0.228906499069058,13,45,"rigid"
"40",23,0.0281937242447443,0.0360971980954273,0.218949787454119,13,50,"rigid"
"41",15,0.00361816573168913,0.00406884487304209,0.110763412077691,14,5,"rigid"
"42",16,0.00614023237063776,0.00824765288658509,0.255517605423851,14,10,"rigid"
"43",17,0.00853179777621461,0.0120082503240922,0.28950533625226,14,15,"rigid"
"44",18,0.0104441491600307,0.0142977940766001,0.269527235874541,14,20,"rigid"
"45",19,0.0148344652878378,0.020965259008709,0.292426328638462,14,25,"rigid"
"46",20,0.0165773493994156,0.0235373732719126,0.295700960004847,14,30,"rigid"
"47",21,0.0160159440230275,0.0237390719656993,0.325334029646609,14,35,"rigid"
"48",22,0.0224453125611207,0.031029618855089,0.276648783024302,14,40,"rigid"
"49",23,0.0272214554881376,0.0366818719226122,0.257904407235084,14,45,"rigid"
"50",24,0.0351724829755491,0.0448305801148267,0.215435470933901,14,50,"rigid"
"51",16,0.00283355467661156,0.00293792801720895,0.0355261735434035,15,5,"rigid"
"52",17,0.00544731998660542,0.0071182704137484,0.234741071920457,15,10,"rigid"
"53",18,0.00764059482178803,0.00992716789470091,0.2303348847493,15,15,"rigid"
"54",19,0.0122865309887107,0.0175396615596519,0.299500110254435,15,20,"rigid"
"55",20,0.0143313547457231,0.021165622078944,0.322894706696088,15,25,"rigid"
"56",21,0.0139473358900072,0.0217515507567846,0.358788895285693,15,30,"rigid"
"57",22,0.0206719655474704,0.0301372851309301,0.314073399191002,15,35,"rigid"
"58",23,0.0255751335800724,0.0363706382093069,0.296819224537888,15,40,"rigid"
"59",24,0.034187450717971,0.0455229338818017,0.249005988789359,15,45,"rigid"
"60",25,0.0355935992831367,0.0467270874723703,0.238266256072922,15,50,"rigid"
"61",17,0.00298077389170386,0.00305543117609429,0.0244342876954824,16,5,"rigid"
"62",18,0.00552259891950958,0.00592326864490644,0.0676433485321328,16,10,"rigid"
"63",19,0.0102586997357943,0.013576833589779,0.244396738904031,16,15,"rigid"
"64",20,0.0125918729049072,0.0176826353587655,0.287896139380307,16,20,"rigid"
"65",21,0.0124439360078707,0.0185300990372299,0.328447409651248,16,25,"rigid"
"66",22,0.0192460928699109,0.0273889146842342,0.297303559056707,16,30,"rigid"
"67",23,0.0240364781878577,0.0338092202939445,0.289055530447629,16,35,"rigid"
"68",24,0.0332059154670503,0.0444903659269437,0.253638068035298,16,40,"rigid"
"69",25,0.0352765949794436,0.0462708119851347,0.237605880122078,16,45,"rigid"
"70",26,0.0370272447877812,0.0477582175629168,0.224693745343376,16,50,"rigid"
"71",18,0.00266264842926857,0.00194327499859913,-0.370186119405654,17,5,"rigid"
"72",19,0.00735765510231992,0.00920960617341638,0.201089062466334,17,10,"rigid"
"73",20,0.0101845480793186,0.0141084578801537,0.278124642265462,17,15,"rigid"
"74",21,0.0103183536775435,0.0153011653291005,0.325649160987789,17,20,"rigid"
"75",22,0.0168316488443496,0.0240447697173438,0.299987105627852,17,25,"rigid"
"76",23,0.0214405886009618,0.0303222403183843,0.292908822836469,17,30,"rigid"
"77",24,0.0304281607370169,0.041846602222977,0.272864244153387,17,35,"rigid"
"78",25,0.0325966391954954,0.0445615270229459,0.268502644024955,17,40,"rigid"
"79",26,0.0345624358861434,0.0466585038280216,0.25924680282212,17,45,"rigid"
"80",27,0.0343084901964568,0.0470651031823825,0.271041857413811,17,50,"rigid"
"81",19,0.00501065434650129,0.00615582744341082,0.186030733875642,18,5,"rigid"
"82",20,0.00816146114545202,0.0115293566807385,0.29211478389883,18,10,"rigid"
"83",21,0.00836159596945475,0.0127220641296852,0.342748481361284,18,15,"rigid"
"84",22,0.0148865789042577,0.0221286910035129,0.327272503290208,18,20,"rigid"
"85",23,0.0193270724115704,0.0282221115986976,0.315179789294634,18,25,"rigid"
"86",24,0.0285523799122047,0.0400214747599938,0.286573518756331,18,30,"rigid"
"87",25,0.030818245028985,0.0434746558083441,0.291121586681543,18,35,"rigid"
"88",26,0.0330849101117365,0.0462384038687029,0.284471189669881,18,40,"rigid"
"89",27,0.0325666497503105,0.0466450032230632,0.301819112444434,18,45,"rigid"
"90",28,0.035701700498051,0.050657943837505,0.29523984209523,18,50,"rigid"
"91",20,0.00304920101384555,0.00375371432479661,0.187684317449817,19,5,"rigid"
"92",21,0.00427674539212706,0.00550737930320024,0.223451816793894,19,10,"rigid"
"93",22,0.0107248825161648,0.0163181561119221,0.34276382438031,19,15,"rigid"
"94",23,0.0150738143857613,0.0226184092053591,0.333559922410911,19,20,"rigid"
"95",24,0.0239766700066775,0.0344453186068075,0.303920794568035,19,25,"rigid"
"96",25,0.0262673636577043,0.0384326721878695,0.316535589060731,19,30,"rigid"
"97",26,0.0285694675399887,0.0417705839879408,0.31603858954338,19,35,"rigid"
"98",27,0.0279089722206074,0.0422045321081931,0.338720966054982,19,40,"rigid"
"99",28,0.0309846885932785,0.0464847177543604,0.33344354682304,19,45,"rigid"
"100",29,0.0337686231364949,0.0506342563301714,0.33308740793388,19,50,"rigid"
"101",21,0.00223961810297897,0.00112581749224327,-0.9893260838543,20,5,"rigid"
"102",22,0.00759930380193426,0.0103382817588383,0.26493551063865,20,10,"rigid"
