start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
2,3,5,0.004487876,0.001141171,-293.269503,warping
2,4,10,0.010854639,0.003273834,-231.5574298,warping
2,5,15,0.019501615,0.005157753,-278.1029238,warping
2,6,20,0.027340774,0.005818447,-369.8981605,warping
2,7,25,0.034892311,0.007494182,-365.5920146,warping
2,8,30,0.041140592,0.009985034,-312.0225479,warping
2,9,35,0.046115686,0.01219914,-278.02409,warping
2,10,40,0.050113183,0.013677059,-266.4032101,warping
2,11,45,0.051140195,0.01478921,-245.793955,warping
2,12,50,0.052426201,0.015359149,-241.3353134,warping
3,4,5,0.001524907,0.001787318,14.68184885,warping
3,5,10,0.004448308,0.004469799,0.480803696,warping
3,6,15,0.007635709,0.006014399,-26.95714943,warping
3,7,20,0.011742979,0.008030867,-46.22305216,warping
3,8,25,0.015182675,0.010520956,-44.30889749,warping
3,9,30,0.018241782,0.012822253,-42.26659453,warping
3,10,35,0.020557021,0.014168462,-45.0899949,warping
3,11,40,0.020612973,0.014892473,-38.41201784,warping
3,12,45,0.021344624,0.015632203,-36.5426493,warping
3,13,50,0.02239526,0.016235823,-37.93733092,warping
4,5,5,0.002094946,0.002165429,3.254912574,warping
4,6,10,0.004437427,0.004503703,1.471584117,warping
4,7,15,0.008557787,0.00708066,-20.86143114,warping
4,8,20,0.014754234,0.009572218,-54.13600312,warping
4,9,25,0.021946532,0.011990007,-83.04019582,warping
4,10,30,0.027906076,0.013355774,-108.9439117,warping
4,11,35,0.033656836,0.01432691,-134.9204065,warping
4,12,40,0.037742749,0.015080229,-150.279676,warping
4,13,45,0.041590716,0.015842801,-162.5212326,warping
4,14,50,0.046339259,0.018160258,-155.1685041,warping
5,6,5,0.001994319,0.001891049,-5.461019466,warping
5,7,10,0.005164212,0.004881061,-5.80100124,warping
5,8,15,0.009339981,0.007881638,-18.50303233,warping
5,9,20,0.013370048,0.010785149,-23.96721117,warping
5,10,25,0.01596791,0.012529843,-27.43902017,warping
5,11,30,0.018391029,0.013713426,-34.10966344,warping
5,12,35,0.018370188,0.014657703,-25.32788088,warping
5,13,40,0.019156365,0.015663926,-22.29606457,warping
5,14,45,0.021822924,0.018243824,-19.61814556,warping
5,15,50,0.024611984,0.020148366,-22.15374296,warping
6,7,5,0.001860581,0.001920625,3.126284477,warping
6,8,10,0.005220714,0.005120747,-1.952196722,warping
6,9,15,0.00895636,0.00850958,-5.250310777,warping
6,10,20,0.011269491,0.010592153,-6.394709361,warping
6,11,25,0.013226464,0.012338501,-7.196684395,warping
6,12,30,0.013559006,0.013452354,-0.792813422,warping
6,13,35,0.014183384,0.014621994,2.999660347,warping
6,14,40,0.016620829,0.01736884,4.306628505,warping
6,15,45,0.018993767,0.019404409,2.116227375,warping
6,16,50,0.020391842,0.020431921,0.196156491,warping
7,8,5,0.002512245,0.002283566,-10.01412722,warping
7,9,10,0.006150606,0.00649662,5.326068096,warping
7,10,15,0.009358962,0.009241958,-1.266005987,warping
7,11,20,0.011355022,0.011368267,0.116508702,warping
7,12,25,0.012989898,0.013573758,4.301385617,warping
7,13,30,0.014125526,0.014755648,4.270376246,warping
7,14,35,0.017207248,0.017566843,2.047008472,warping
7,15,40,0.020316624,0.019670524,-3.284611189,warping
7,16,45,0.022398216,0.020697565,-8.216675033,warping
7,17,50,0.024428406,0.022277157,-9.656749257,warping
8,9,5,0.002715965,0.002926952,7.208402908,warping
8,10,10,0.0063262,0.006269836,-0.89896356,warping
8,11,15,0.009007657,0.008491281,-6.081254196,warping
8,12,20,0.011995552,0.01236261,2.969099907,warping
8,13,25,0.014388039,0.014352889,-0.244897252,warping
8,14,30,0.018110222,0.017809411,-1.689054606,warping
8,15,35,0.021119701,0.02027338,-4.174543462,warping
8,16,40,0.023691627,0.021411468,-10.64923951,warping
8,17,45,0.026495274,0.022879044,-15.80585801,warping
8,18,50,0.028644518,0.024210887,-18.31254939,warping
9,10,5,0.002543432,0.002621346,2.972287417,warping
9,11,10,0.006116454,0.005063708,-20.79001461,warping
9,12,15,0.008865959,0.011093711,20.08121529,warping
9,13,20,0.012218993,0.014094381,13.30592431,warping
9,14,25,0.016078606,0.017945002,10.40064683,warping
9,15,30,0.019170808,0.020847741,8.043713783,warping
9,16,35,0.020515838,0.02226241,7.845386782,warping
9,17,40,0.02173,0.023901004,9.083317185,warping
9,18,45,0.022936235,0.025029266,8.362336543,warping
9,19,50,0.024564771,0.026906796,8.704213632,warping
10,11,5,0.003467533,0.001960966,-76.82780336,warping
10,12,10,0.005759453,0.00888808,35.20025582,warping
10,13,15,0.00883175,0.012652119,30.19548563,warping
10,14,20,0.012884692,0.016926911,23.88043052,warping
10,15,25,0.016486883,0.020210885,18.4257241,warping
10,16,30,0.018645979,0.022028485,15.35514275,warping
10,17,35,0.021207321,0.024227412,12.46559303,warping
10,18,40,0.022985491,0.025634203,10.33272847,warping
10,19,45,0.026141623,0.027670218,5.524332731,warping
10,20,50,0.026372087,0.027800324,5.137484,warping
11,12,5,0.006649598,0.006352863,-4.670885046,warping
11,13,10,0.010009426,0.010275567,2.590031363,warping
11,14,15,0.014138837,0.014802452,4.483138634,warping
11,15,20,0.017798596,0.01818465,2.122969467,warping
11,16,25,0.020435307,0.020239071,-0.969590807,warping
11,17,30,0.022738496,0.022348612,-1.744553583,warping
11,18,35,0.024484509,0.023755403,-3.069218528,warping
11,19,40,0.026517406,0.026248363,-1.024989917,warping
11,20,45,0.026594185,0.026925734,1.231347196,warping
11,21,50,0.025703175,0.026509835,3.042871652,warping
12,13,5,0.004646803,0.003257464,-42.65094228,warping
12,14,10,0.013267551,0.008335645,-59.16645721,warping
12,15,15,0.022260069,0.013038692,-70.72317145,warping
12,16,20,0.027115831,0.016045199,-68.99654101,warping
12,17,25,0.028728711,0.018440018,-55.79546212,warping
12,18,30,0.028546633,0.020539444,-38.98445026,warping
12,19,35,0.028772338,0.024050601,-19.63250784,warping
12,20,40,0.026995408,0.025140413,-7.37853845,warping
12,21,45,0.025469402,0.024770588,-2.821143215,warping
12,22,50,0.029063151,0.031398036,7.436405983,warping
13,14,5,0.002654595,0.00337598,21.36815689,warping
13,15,10,0.00720183,0.008813096,18.28262873,warping
13,16,15,0.01123829,0.012458119,9.791437704,warping
13,17,20,0.015311821,0.015551379,1.540429208,warping
13,18,25,0.018497085,0.017537901,-5.469205193,warping
13,19,30,0.024470297,0.022618265,-8.188214436,warping
13,20,35,0.026633556,0.023989397,-11.0221998,warping
13,21,40,0.027086212,0.023968098,-13.00943348,warping
13,22,45,0.031293177,0.030676664,-2.0097126,warping
13,23,50,0.03519839,0.036097198,2.489967651,warping
14,15,5,0.004138282,0.004068845,-1.70654847,warping
14,16,10,0.008537641,0.008247653,-3.516010017,warping
14,17,15,0.014781766,0.01200825,-23.09675022,warping
14,18,20,0.021655931,0.014297794,-51.46344174,warping
14,19,25,0.031893935,0.020965259,-52.12755156,warping
14,20,30,0.038578344,0.023537373,-63.90250263,warping
14,21,35,0.043472633,0.023739072,-83.12692869,warping
14,22,40,0.052756847,0.031029619,-70.02093301,warping
14,23,45,0.060599154,0.036681872,-65.2019117,warping
14,24,50,0.07282194,0.04483058,-62.43809451,warping
15,16,5,0.002682207,0.002937928,8.704144749,warping
15,17,10,0.00672337,0.00711827,5.54770318,warping
