start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
2,3,5,0.004487876,0.001141171,-293.269503,warping
2,4,10,0.010854639,0.003273834,-231.5574298,warping
2,5,15,0.019501615,0.005157753,-278.1029238,warping
2,6,20,0.027340774,0.005818447,-369.8981605,warping
2,7,25,0.034892311,0.007494182,-365.5920146,warping
2,8,30,0.041140592,0.009985034,-312.0225479,warping
2,9,35,0.046115686,0.01219914,-278.02409,warping
2,10,40,0.050113183,0.013677059,-266.4032101,warping
2,11,45,0.051140195,0.01478921,-245.793955,warping
2,12,50,0.052426201,0.015359149,-241.3353134,warping
3,4,5,0.001515174,0.001787318,15.22637551,warping
3,5,10,0.004384835,0.004469799,1.900835021,warping
3,6,15,0.007532656,0.006014399,-25.24371015,warping
3,7,20,0.011637784,0.008030867,-44.91316406,warping
3,8,25,0.015062342,0.010520956,-43.16514932,warping
3,9,30,0.018066461,0.012822253,-40.89927733,warping
3,10,35,0.020325609,0.014168462,-43.45670931,warping
3,11,40,0.020350792,0.014892473,-36.65152634,warping
3,12,45,0.021050581,0.015632203,-34.66164562,warping
3,13,50,0.022151733,0.016235823,-36.43739541,warping
4,5,5,0.002144699,0.002165429,0.957340979,warping
4,6,10,0.004513914,0.004503703,-0.226722982,warping
4,7,15,0.008524333,0.00708066,-20.38895557,warping
4,8,20,0.014476331,0.009572218,-51.23278308,warping
4,9,25,0.021019549,0.011990007,-75.3088969,warping
4,10,30,0.026010869,0.013355774,-94.75374131,warping
4,11,35,0.030961121,0.01432691,-116.1046659,warping
4,12,40,0.03430062,0.015080229,-127.4542332,warping
4,13,45,0.037240979,0.015842801,-135.0656299,warping
4,14,50,0.041361841,0.018160258,-127.7602023,warping
5,6,5,0.002418918,0.001891049,-27.91409922,warping
5,7,10,0.005564419,0.004881061,-14.00018567,warping
5,8,15,0.009761985,0.007881638,-23.85730665,warping
5,9,20,0.013971164,0.010785149,-29.54076276,warping
5,10,25,0.016458776,0.012529843,-31.35660051,warping
5,11,30,0.018596771,0.013713426,-35.6099578,warping
5,12,35,0.018997359,0.014657703,-29.60666293,warping
5,13,40,0.020041048,0.015663926,-27.94395936,warping
5,14,45,0.023004627,0.018243824,-26.09542362,warping
5,15,50,0.026153711,0.020148366,-29.80561567,warping
6,7,5,0.002330795,0.001920625,-21.35605644,warping
6,8,10,0.005543131,0.005120747,-8.248479129,warping
6,9,15,0.009322558,0.00850958,-9.553679988,warping
6,10,20,0.011526529,0.010592153,-8.821396208,warping
6,11,25,0.01351341,0.012338501,-9.522301607,warping
6,12,30,0.014210283,0.013452354,-5.634177034,warping
6,13,35,0.014316613,0.014621994,2.088505846,warping
6,14,40,0.016562644,0.01736884,4.641625507,warping
6,15,45,0.018709114,0.019404409,3.583178105,warping
6,16,50,0.02017021,0.020431921,1.280891138,warping
7,8,5,0.003438453,0.002283566,-50.57384277,warping
7,9,10,0.007307346,0.00649662,-12.47919062,warping
7,10,15,0.010163513,0.009241958,-9.971419822,warping
7,11,20,0.011944351,0.011368267,-5.067468978,warping
7,12,25,0.013601763,0.013573758,-0.206323315,warping
7,13,30,0.01445717,0.014755648,2.022801984,warping
7,14,35,0.017241584,0.017566843,1.851546905,warping
7,15,40,0.019607742,0.019670524,0.319168912,warping
7,16,45,0.021123239,0.020697565,-2.056639944,warping
7,17,50,0.023348136,0.022277157,-4.807519856,warping
8,9,5,0.003924766,0.002926952,-34.09055918,warping
8,10,10,0.007551702,0.006269836,-20.44497349,warping
8,11,15,0.009499732,0.008491281,-11.87631503,warping
8,12,20,0.011477995,0.01236261,7.155571581,warping
8,13,25,0.012295941,0.014352889,14.33124816,warping
8,14,30,0.015885904,0.017809411,10.80050966,warping
8,15,35,0.019497123,0.02027338,3.82894895,warping
8,16,40,0.023269366,0.021411468,-8.677115612,warping
8,17,45,0.027873515,0.022879044,-21.82989053,warping
8,18,50,0.033197631,0.024210887,-37.11860909,warping
9,10,5,0.003875351,0.002621346,-47.83822711,warping
9,11,10,0.006750055,0.005063708,-33.30260492,warping
9,12,15,0.009008681,0.011093711,18.79470099,warping
9,13,20,0.011310397,0.014094381,19.75244026,warping
9,14,25,0.014476719,0.017945002,19.32729444,warping
9,15,30,0.016711532,0.020847741,19.84008004,warping
9,16,35,0.017878061,0.02226241,19.69395733,warping
9,17,40,0.01924634,0.023901004,19.47476194,warping
9,18,45,0.020896564,0.025029266,16.51147962,warping
9,19,50,0.022751149,0.026906796,15.44460151,warping
10,11,5,0.005071718,0.001960966,-158.6336501,warping
10,12,10,0.007660488,0.00888808,13.81167176,warping
10,13,15,0.010143491,0.012652119,19.82772692,warping
10,14,20,0.013449121,0.016926911,20.54592678,warping
10,15,25,0.015810429,0.020210885,21.77270518,warping
10,16,30,0.01750124,0.022028485,20.55177345,warping
10,17,35,0.019464302,0.024227412,19.66000387,warping
10,18,40,0.021317967,0.025634203,16.83780326,warping
10,19,45,0.023493687,0.027670218,15.09395897,warping
10,20,50,0.02396905,0.027800324,13.78140088,warping
11,12,5,0.008076972,0.006352863,-27.13908538,warping
11,13,10,0.010808766,0.010275567,-5.189004882,warping
11,14,15,0.014845452,0.014802452,-0.290493144,warping
11,15,20,0.018585961,0.01818465,-2.206864865,warping
11,16,25,0.022165949,0.020239071,-9.520587557,warping
11,17,30,0.025407072,0.022348612,-13.68523286,warping
11,18,35,0.028811155,0.023755403,-21.28253236,warping
11,19,40,0.03114355,0.026248363,-18.64949469,warping
11,20,45,0.029644503,0.026925734,-10.09728836,warping
11,21,50,0.027452674,0.026509835,-3.556564177,warping
12,13,5,0.005084926,0.003257464,-56.10076938,warping
12,14,10,0.011787708,0.008335645,-41.41327121,warping
12,15,15,0.018263498,0.013038692,-40.07155078,warping
12,16,20,0.021932395,0.016045199,-36.69132184,warping
12,17,25,0.023406675,0.018440018,-26.93412217,warping
12,18,30,0.024564643,0.020539444,-19.5974119,warping
12,19,35,0.025991747,0.024050601,-8.071090703,warping
12,20,40,0.025125731,0.025140413,0.058400714,warping
12,21,45,0.023761976,0.024770588,4.071813384,warping
12,22,50,0.02803964,0.031398036,10.69619911,warping
13,14,5,0.004858954,0.00337598,-43.92720774,warping
13,15,10,0.009687412,0.008813096,-9.9206432,warping
13,16,15,0.014004243,0.012458119,-12.41056935,warping
13,17,20,0.018122715,0.015551379,-16.53445539,warping
13,18,25,0.021906201,0.017537901,-24.90776532,warping
13,19,30,0.02846432,0.022618265,-25.84660966,warping
13,20,35,0.030764602,0.023989397,-28.24249952,warping
13,21,40,0.031058151,0.023968098,-29.58120618,warping
13,22,45,0.035790818,0.030676664,-16.67115468,warping
13,23,50,0.040258315,0.036097198,-11.52753527,warping
14,15,5,0.004724465,0.004068845,-16.11318068,warping
14,16,10,0.007996281,0.008247653,3.047799029,warping
14,17,15,0.012572337,0.01200825,-4.697490179,warping
14,18,20,0.017676009,0.014297794,-23.62752538,warping
14,19,25,0.026931055,0.020965259,-28.45562901,warping
14,20,30,0.033866185,0.023537373,-43.88260255,warping
14,21,35,0.03943044,0.023739072,-66.09933052,warping
14,22,40,0.050602625,0.031029619,-63.07846238,warping
14,23,45,0.06111837,0.036681872,-66.61737023,warping
14,24,50,0.077269942,0.04483058,-72.35989687,warping
15,16,5,0.003171552,0.002937928,-7.952006589,warping
