,Horizontal,Vertical,Error,order
1,2.7,0,0.049774038,1
2,0.9,0.2,0.031359387,2
3,1.7,0.5,0.035453475,3
4,1.9,0.3,0.039320386,4
5,2,0.4,0.034503731,5
6,1.8,0.4,0.037583305,6
7,1.4,0.4,0.042913526,7
8,1.8,0.5,0.045629749,8
9,1.9,0.5,0.04002907,9
10,0.5,0.2,0.042769682,10
11,3.1,0.9,0.062178624,11
12,1.6,0.4,0.047147217,12
13,1.5,0.5,0.049981809,13
14,1.6,0.6,0.05227945,14
15,1.5,0.5,0.044476753,15
16,1.1,0.8,0.045687534,16
17,0.9,0.3,0.038856792,17
18,2.5,1,0.062354981,18
19,2.2,0.5,0.046032001,19
20,0.3,0.3,0.031520793,20
21,3.4,0.7,0.074685187,21
22,2,0.6,0.046892318,22
23,4.8,0.9,0.07997252,23
24,2.1,0.4,0.04761298,24
25,2.1,0.3,0.047123034,25
26,0.2,0.1,0.023084816,26
27,2.2,0.3,0.055372596,27
28,2.1,0.3,0.05242067,28
29,3.8,0.5,0.081369119,29
30,2.8,0.6,0.074144528,30
31,2.1,0.5,0.058661786,31
32,2.6,0.6,0.066392615,32
33,3.6,0.3,0.092980021,33
34,3,0.8,0.073634241,34
35,2.3,0.5,0.061351079,35
36,2.9,0.6,0.070973709,36
37,2.2,0.5,0.059126125,37
38,6.5,0.9,0.108352374,38
39,2,0.1,0.069162783,39
40,2.8,0.6,0.078922443,40
41,2.4,0.6,0.068312058,41
42,2.8,0.6,0.073360122,42
43,2.5,0.5,0.065194813,43
44,2.5,0,0.073163377,44
45,3,0.8,0.086221684,45
46,2.7,0.5,0.079139923,46
47,0.3,0.2,0.039370083,47
48,3.8,5.55E-17,0.120419731,48
49,0.4,0.4,0.083468962,49
50,1.7,0.2,0.075272359,50
51,4.3,1.3,0.128725955,51
52,3.9,0.7,0.112142943,52
53,3.2,0.7,0.091487694,53
54,0.2,0.4,0.063538375,54
55,2.2,0.3,0.07652232,55
56,2.6,0.8,0.076361321,56
57,2.8,0.8,0.077141165,57
58,3,0.8,0.079416619,58
59,3.3,1.3,0.114230303,59
60,4.9,0.9,0.11929007,60
61,2.2,0.2,0.076245132,61
62,0.4,0.5,0.059379153,62
63,2.6,0.6,0.083588921,63
64,7.5,0.5,0.147624942,64
65,3.5,0.7,0.093180444,65
66,2.1,0.1,0.077131878,66
67,3.6,1,0.102987223,67
