percent,projected
8.81180314,one
3.596991076,one
6.624456506,one
3.425440007,one
-4.937454533,one
-3.143469815,one
-6.377005059,one
-33.50837261,one
11.8565132,one
2.604709415,one
0.474547144,one
5.780061098,one
2.510653707,one
3.652101819,one
-11.32339265,one
9.083016214,one
8.195169659,one
-30.97200551,one
9.795845832,one
8.229275725,one
1.627635838,one
-14.83094134,one
-11.08964143,one
-127.3725881,one
-8.246008537,one
-7.234187517,one
4.601021423,one
0.061723114,one
-8.670941993,one
-0.485011448,one
9.456985744,one
7.710351322,one
3.374706134,one
4.234922065,one
-0.730797031,one
8.202339226,one
-13.50719854,one
-8.232169273,one
-17.51426052,one
-13.03301749,one
-22.40956697,one
-11.82954137,one
-9.851836184,one
-13.56301085,one
-106.2662882,one
0.890928072,one
-28.20845255,one
-8.66880788,one
6.144141254,one
5.162524963,one
-10.3234864,one
-55.73102281,one
-7.179602662,one
-5.307952831,one
-1.776725915,one
-0.781447411,one
16.81984583,two
16.50956872,two
17.61000048,two
8.091673068,two
6.393451046,two
5.80727602,two
-2.243093049,two
10.41853222,two
16.30555755,two
10.46246491,two
8.504657473,two
11.19956829,two
9.877051374,two
5.18284863,two
7.979197929,two
14.16922224,two
9.146825095,two
11.31843643,two
11.22136445,two
15.02566909,two
7.822572147,two
2.399311734,two
-16.43986638,two
-12.88711944,two
4.126142934,two
7.760275945,two
9.704824251,two
6.888295093,two
5.551077791,two
12.47161362,two
14.59269129,two
13.41141169,two
11.63244919,two
10.24387332,two
15.9506233,two
10.99172613,two
0.432560503,two
-3.22867363,two
-7.483994065,two
-8.670574461,two
-8.463465594,two
-4.17300268,two
-4.202637614,two
-30.51974036,two
8.681733642,two
-8.209528692,two
-9.261852024,two
9.265107854,two
13.54070685,two
13.88240951,two
-21.72386751,two
-13.23836976,two
5.445755977,two
8.729361808,two
10.37500653,two
9.278867978,two
22.00164316,three
19.92160743,three
14.92356363,three
8.499302157,three
9.266301634,three
6.162367945,three
14.62711342,three
14.04733843,three
17.07995983,three
13.30171118,three
10.88394619,three
12.59661636,three
9.815513431,three
11.91224121,three
11.65114033,three
16.7741774,three
16.10822678,three
12.91803091,three
10.72747562,three
16.70144739,three
1.668316719,three
-11.85713748,three
-3.337370648,three
-1.234780001,three
7.009146647,three
9.535626004,three
11.3415997,three
11.66246524,three
13.62204412,three
15.75357953,three
17.44184684,three
16.11264068,three
13.75522014,three
16.35839204,three
17.84262564,three
13.50178018,three
4.960217648,three
1.65331932,three
-3.210454966,three
-1.936575879,three
-1.378276718,three
0.135259567,three
-10.67387057,three
-3.112771256,three
3.887153293,three
-6.949982675,three
8.990408953,three
13.0766214,three
16.0846708,three
11.72613064,three
-9.922468716,three
1.958498626,three
10.52536156,three
11.83425806,three
11.08638875,three
13.25237939,three
20.45766964,four
17.08298184,four
12.30752359,four
8.837187509,four
8.343669094,four
12.93579095,four
17.47765844,four
15.18431316,four
16.53499009,four
14.09743687,four
11.20783762,four
11.76913255,four
13.78240984,four
14.14882266,four
13.69442752,four
15.75454988,four
15.50376258,four
11.70725606,four
11.82526838,four
17.31401323,four
3.584858541,four
3.107949611,four
