start,one,two,three,four,five,six,seven,eight,nine,ten
3,8.81180314,16.81984583,22.00164316,20.45766964,16.66275606,13.44734189,11.2192191,8.309965198,8.851923121,8.550163886
4,3.596991076,16.50956872,19.92160743,17.08298184,13.89978381,12.26339573,10.68184311,11.11576504,11.48136274,10.48435227
5,6.624456506,17.61000048,14.92356363,12.30752359,11.58422459,9.630965475,10.31577261,10.93357042,10.09797072,8.714862261
6,3.425440007,8.091673068,8.499302157,8.837187509,7.688684256,8.802109426,9.950728667,9.414330368,8.200161373,7.159455947
7,-4.937454533,6.393451046,9.266301634,8.343669094,10.94982354,11.39761947,10.72999667,9.561624607,8.542199765,7.73916824
8,-3.143469815,5.80727602,6.162367945,12.93579095,14.29536214,13.85768302,12.87171921,11.56786571,10.28318457,9.666414291
9,-6.377005059,-2.243093049,14.62711342,17.47765844,17.29076234,16.67018678,15.64955749,14.53119047,13.44201193,11.36633819
10,-33.50837261,10.41853222,14.04733843,15.18431316,15.32801349,14.81879292,14.42185957,13.6144669,11.52985529,11.01244243
11,11.8565132,16.30555755,17.07995983,16.53499009,15.6138021,15.62922323,14.73277261,12.883022,13.21922831,14.1174306
12,2.604709415,10.46246491,13.30171118,14.09743687,13.59512987,13.4687008,12.13434232,12.48498454,13.53379431,12.06545267
13,0.474547144,8.504657473,10.88394619,11.20783762,10.96677233,11.77023297,12.1744769,13.37153205,11.91251548,11.31422157
14,5.780061098,11.19956829,12.59661636,11.76913255,14.03657222,14.99305601,16.3410407,13.96033938,12.99539182,11.15867846
15,2.510653707,9.877051374,9.815513431,13.78240984,15.62594444,17.33728201,15.41711314,14.70827112,12.67323583,11.98400245
16,3.652101819,5.18284863,11.91224121,14.14882266,16.29821495,14.61353544,14.22172872,12.91396856,12.3739037,11.8691821
17,-11.32339265,7.979197929,11.65114033,13.69442752,12.21947638,11.79487654,11.41459977,11.47093831,11.23165705,11.82163671
18,9.083016214,14.16922224,16.7741774,15.75454988,14.91972254,13.55701612,14.11559233,14.11903848,15.11735311,14.90408696
19,8.195169659,9.146825095,16.10822678,15.50376258,13.54107826,14.2980269,14.52629617,15.62361631,15.54572131,15.6744099
20,-30.97200551,11.31843643,12.91803091,11.70725606,12.68940153,13.08292567,14.03592431,13.76150535,12.66979468,8.798175345
21,9.795845832,11.22136445,10.72747562,11.82526838,12.46948144,13.60798547,13.89866676,14.33813791,13.87061768,13.71953685
22,8.229275725,15.02566909,16.70144739,17.31401323,19.10152153,19.27691853,19.56777703,17.96466273,16.81091698,16.54009589
23,1.627635838,7.822572147,1.668316719,3.584858541,-8.115088987,-8.528753956,-28.00124407,-42.99686505,-87.59825723,-141.8326662
24,-14.83094134,2.399311734,-11.85713748,3.107949611,-3.692968516,2.702019392,-7.877410022,-13.47395235,-32.51384405,-50.12215196
25,-11.08964143,-16.43986638,-3.337370648,7.933817103,7.583776684,11.49043774,9.27060894,11.14865472,9.364672751,8.818422723
26,-127.3725881,-12.88711944,-1.234780001,8.538975186,10.17774249,12.4921715,13.83632405,16.26228532,16.77615913,18.03277313
27,-8.246008537,4.126142934,7.009146647,10.14600721,11.28194348,13.5377601,15.15257817,16.13879016,16.60363611,17.53291261
28,-7.234187517,7.760275945,9.535626004,11.72347873,13.35731443,14.83367384,15.59636351,16.91236731,17.97337347,18.3340138
29,4.601021423,9.704824251,11.3415997,14.05948166,15.61696803,16.62205133,17.59368999,18.97567544,19.55872797,18.33688353
30,0.061723114,6.888295093,11.66246524,15.48816489,16.67247133,18.21531338,18.79416675,19.45533063,18.37866581,18.82369532
31,-8.670941993,5.551077791,13.62204412,16.81112373,19.00269291,19.74190122,19.71549059,18.22458718,18.5654761,18.76875787
32,-0.485011448,12.47161362,15.75357953,18.62930866,19.06260076,19.16467672,17.58146325,18.00225441,18.39229914,18.50917814
33,9.456985744,14.59269129,17.44184684,18.34911158,18.32774902,17.29271104,17.58808488,18.23705111,18.19576167,17.80553019
34,7.710351322,13.41141169,16.11264068,16.45339059,16.37420864,16.75154174,16.99496986,17.1090348,16.51155754,16.49070847
35,3.374706134,11.63244919,13.75522014,16.06253379,16.5805955,16.85124259,16.53080109,16.18848565,15.75463958,15.99235133
36,4.234922065,10.24387332,16.35839204,17.51914606,17.52625783,17.69418097,17.2701619,17.4350023,16.94632869,17.95494479
37,-0.730797031,15.9506233,17.84262564,18.53380924,18.42590051,18.22600622,18.01195155,18.35770694,18.60648973,17.98597257
38,8.202339226,10.99172613,13.50178018,14.05813074,13.98069426,13.90731911,14.35115612,15.23560255,14.60685807,14.84472067
39,-13.50719854,0.432560503,4.960217648,7.853306144,9.356131268,10.60907106,12.39152807,12.66532471,12.51840351,12.97964313
40,-8.232169273,-3.22867363,1.65331932,4.280039755,6.727089168,8.983750663,10.01635021,9.510671339,11.08710745,11.35480021
41,-17.51426052,-7.483994065,-3.210454966,1.618690633,5.097192417,7.17721056,6.114945413,9.104198815,9.039747118,10.32795794
42,-13.03301749,-8.670574461,-1.936575879,2.610258377,5.135441809,3.493833338,7.445455218,7.36491708,8.776541889,11.23741622
43,-22.40956697,-8.463465594,-1.378276718,2.366905214,-0.246603906,5.590019671,5.221729204,6.915661101,10.33184003,11.95252416
44,-11.82954137,-4.17300268,0.135259567,-3.597537704,4.490788294,3.569160846,5.331574122,10.37779961,12.46187132,13.43290958
45,-9.851836184,-4.202637614,-10.67387057,0.974877585,-0.556726518,1.280569958,7.775237199,11.50034888,13.00108632,12.87626908
46,-13.56301085,-30.51974036,-3.112771256,-5.424348512,-3.184132471,5.897864806,10.97827508,13.32582284,12.58509225,13.55667323
47,-106.2662882,8.681733642,3.887153293,9.111637893,14.67416304,19.20538865,20.89173754,21.08644271,21.58450665,21.93254811
48,0.890928072,-8.209528692,-6.949982675,3.379928347,9.543098597,12.64572061,11.80269382,12.59792672,12.75214078,12.88547346
49,-28.20845255,-9.261852024,8.990408953,16.02199973,18.82936875,19.193752,20.83295152,21.5093596,21.76924467,21.65975834
